1990,
 55-59 ,5.75
 60-64 ,4.48
 65-69 ,4.09
 70-74 ,4.39
 75-79 ,1.83
 80+ ,0
Total,9.07
2011,
 0-4,3.73
 5-9,0
 10-14 ,0
 15-19 ,6.77
 20-24 ,17.92
 25-29 ,20.9
 30-34 ,19.55
 35-39 ,15.81
 40-44 ,12.16
 45-49 ,9.32
 50-54 ,7.08
 55-59 ,5.35
 60-64 ,4.24
 65-69 ,3.82
 70-74 ,4.11
 75-79 ,1.68
 80+ ,0
Total,8.57
2012,
 0-4,3.64
 5-9,0
 10-14 ,0
 15-19 ,5.91
 20-24 ,15.59
 25-29 ,18.1
 30-34 ,17.06
 35-39 ,13.91
 40-44 ,10.65
 45-49 ,8.1
 50-54 ,6.15
 55-59 ,4.63
 60-64 ,3.73
 65-69 ,3.32
 70-74 ,3.6
 75-79 ,1.43
 80+ ,0
Total,7.56
2013,
 0-4,2.64
 5-9,0
 10-14 ,0
 15-19 ,5.54
 20-24 ,14.6
 25-29 ,16.86
 30-34 ,15.98
 35-39 ,13.16
 40-44 ,10.03
 45-49 ,7.59
 50-54 ,5.74
 55-59 ,4.32
 60-64 ,3.51
 65-69 ,3.12
 70-74 ,3.39
 75-79 ,1.31
 80+ ,0
Total,7.03
2014,
 0-4,2.4
 5-9,0
 10-14 ,0
 15-19 ,4.47
 20-24 ,11.76
 25-29 ,13.5
 30-34 ,12.82
 35-39 ,10.68
 40-44 ,8.15
 45-49 ,6.11
 50-54 ,4.6
 55-59 ,3.47
 60-64 ,2.81
 65-69 ,2.53
 70-74 ,2.73
 75-79 ,1.04
 80+ ,0
Total,5.73
2015,
 0-4,2.79
 5-9,0
 10-14 ,0
 15-19 ,3.85
 20-24 ,10.1
 25-29 ,11.54
 30-34 ,10.96
 35-39 ,9.23
 40-44 ,7.09
 45-49 ,5.22
 50-54 ,3.94
 55-59 ,2.98
 60-64 ,2.4
 65-69 ,2.2
 70-74 ,2.35
 75-79 ,0.88
 80+ ,0
Total,5.03
2016,
 0-4,2.55
 5-9,0
 10-14 ,0
 15-19 ,4.13
 20-24 ,10.78
 25-29 ,12.3
 30-34 ,11.66
 35-39 ,9.92
 40-44 ,7.61
 45-49 ,5.65
 50-54 ,4.21
 55-59 ,3.19
 60-64 ,2.55
 65-69 ,2.37
 70-74 ,2.51
 75-79 ,0.94
 80+ ,0
Total,5.36
2017,
 0-4,2.29
 5-9,0
 10-14 ,0
 15-19 ,3.51
 20-24 ,9.11
 25-29 ,10.39
 30-34 ,9.8
 35-39 ,8.41
 40-44 ,6.51
 45-49 ,4.81
 50-54 ,3.57
 55-59 ,2.69
 60-64 ,2.15
 65-69 ,2.03
 70-74 ,2.12
 75-79 ,0.8
 80+ ,0
Total,4.57
2018,
 0-4,2.17
 5-9,0
 10-14 ,0
 15-19 ,2.81
 20-24 ,7.24
 25-29 ,8.28
 30-34 ,7.76
 35-39 ,6.69
 40-44 ,5.23
 45-49 ,3.86
 50-54 ,2.84
 55-59 ,2.14
 60-64 ,1.7
 65-69 ,1.62
 70-74 ,1.69
 75-79 ,0.64
 80+ ,0
Total,3.7
2019,
 0-4,2.06
 5-9,0
 10-14 ,0
 15-19 ,2.53
 20-24 ,6.46
 25-29 ,7.4
 30-34 ,6.9
 35-39 ,5.96
 40-44 ,4.71
 45-49 ,3.48
 50-54 ,2.54
 55-59 ,1.9
 60-64 ,1.52
 65-69 ,1.44
 70-74 ,1.52
 75-79 ,0.57
 80+ ,0
Total,3.33
2020,
 0-4,1.93
 5-9,0
 10-14 ,0
 15-19 ,2.25
 20-24 ,5.73
 25-29 ,6.55
 30-34 ,6.07
 35-39 ,5.25
 40-44 ,4.2
 45-49 ,3.12
 50-54 ,2.24
 55-59 ,1.68
 60-64 ,1.35
 65-69 ,1.27
 70-74 ,1.37
 75-79 ,0.5
 80+ ,0
Total,2.97
2021,
 0-4,1.79
 5-9,0
 10-14 ,0
 15-19 ,1.97
 20-24 ,5.03
 25-29 ,5.71
 30-34 ,5.28
 35-39 ,4.55
 40-44 ,3.68
 45-49 ,2.73
 50-54 ,1.97
 55-59 ,1.47
 60-64 ,1.18
 65-69 ,1.1
 70-74 ,1.21
 75-79 ,0.43
 80+ ,0
Total,2.61
2022,
 0-4,1.7
 5-9,0
 10-14 ,0
 15-19 ,1.81
 20-24 ,4.64
 25-29 ,5.22
 30-34 ,4.83
 35-39 ,4.15
 40-44 ,3.37
 45-49 ,2.53
 50-54 ,1.82
 55-59 ,1.34
 60-64 ,1.08
 65-69 ,1.01
 70-74 ,1.12
 75-79 ,0.39
 80+ ,0
Total,2.41
2023,
 0-4,1.62
 5-9,0
 10-14 ,0
 15-19 ,1.78
 20-24 ,4.61
 25-29 ,5.12
 30-34 ,4.76
 35-39 ,4.06
 40-44 ,3.32
 45-49 ,2.51
 50-54 ,1.81
 55-59 ,1.32
 60-64 ,1.06
 65-69 ,0.99
 70-74 ,1.1
 75-79 ,0.38
 80+ ,0
Total,2.38
2024,
 0-4,1.54
 5-9,0
 10-14 ,0
 15-19 ,1.76
 20-24 ,4.58
 25-29 ,5.04
 30-34 ,4.7
 35-39 ,3.98
 40-44 ,3.26
 45-49 ,2.5
 50-54 ,1.8
 55-59 ,1.31
 60-64 ,1.04
 65-69 ,0.98
 70-74 ,1.08
 75-79 ,0.39
 80+ ,0
Total,2.35
2025,
 0-4,1.45
 5-9,0
 10-14 ,0
 15-19 ,1.74
 20-24 ,4.54
 25-29 ,4.98
 30-34 ,4.63
 35-39 ,3.91
 40-44 ,3.21
 45-49 ,2.48
 50-54 ,1.8
 55-59 ,1.29
 60-64 ,1.03
 65-69 ,0.97
 70-74 ,1.06
 75-79 ,0.39
 80+ ,0
Total,2.32
2026,
 0-4,1.37
 5-9,0
 10-14 ,0
 15-19 ,1.72
 20-24 ,4.49
 25-29 ,4.94
 30-34 ,4.57
 35-39 ,3.85
 40-44 ,3.15
 45-49 ,2.46
 50-54 ,1.78
 55-59 ,1.28
 60-64 ,1.02
 65-69 ,0.96
 70-74 ,1.04
 75-79 ,0.39
 80+ ,0
Total,2.3
2027,
 0-4,1.3
 5-9,0
 10-14 ,0
 15-19 ,1.7
 20-24 ,4.44
 25-29 ,4.93
 30-34 ,4.51
 35-39 ,3.81
 40-44 ,3.1
 45-49 ,2.44
 50-54 ,1.78
 55-59 ,1.28
 60-64 ,1.01
 65-69 ,0.95
 70-74 ,1.03
 75-79 ,0.39
 80+ ,0
Total,2.28
2028,
 0-4,1.23
 5-9,0
 10-14 ,0
 15-19 ,1.69
 20-24 ,4.39
 25-29 ,4.93
 30-34 ,4.45
 35-39 ,3.77
 40-44 ,3.06
 45-49 ,2.42
 50-54 ,1.79
 55-59 ,1.28
 60-64 ,1
 65-69 ,0.94
 70-74 ,1.01
 75-79 ,0.39
 80+ ,0
Total,2.26
2029,
 0-4,1.16
 5-9,0
 10-14 ,0
 15-19 ,1.68
 20-24 ,4.35
 25-29 ,4.92
 30-34 ,4.4
 35-39 ,3.74
 40-44 ,3.01
 45-49 ,2.39
 50-54 ,1.78
 55-59 ,1.28
 60-64 ,0.99
 65-69 ,0.93
 70-74 ,1
 75-79 ,0.39
 80+ ,0
Total,2.24
2030,
 0-4,1.11
 5-9,0
 10-14 ,0
 15-19 ,1.66
 20-24 ,4.3
 25-29 ,4.88
 30-34 ,4.36
 35-39 ,3.7
 40-44 ,2.97
 45-49 ,2.35
 50-54 ,1.78
 55-59 ,1.28
 60-64 ,0.98
 65-69 ,0.92
 70-74 ,0.99
 75-79 ,0.38
 80+ ,0
Total,2.22
2031,
 0-4,1.06
 5-9,0
 10-14 ,0
 15-19 ,1.64
 20-24 ,4.24
 25-29 ,4.83
 30-34 ,4.32
 35-39 ,3.65
 40-44 ,2.92
 45-49 ,2.31
 50-54 ,1.76
 55-59 ,1.27
 60-64 ,0.98
 65-69 ,0.91
 70-74 ,0.98
 75-79 ,0.37
 80+ ,0
Total,2.2
2032,
 0-4,1.01
 5-9,0
